Address,BuildingType,City,ComplianceStatus,CouncilDistrictCode,DataYear,DefaultData,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),NaturalGas(therms),Neighborhood,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),State,SteamUse(kBtu),TaxParcelIdentificationNumber,TotalGHGEmissions,YearBuilt,ZipCode
100 Roy St,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,83397,24442.40039,100,1.88,Multifamily Housing,53280,47.62573,Multifamily Housing,'-122.35496,1880084,18800.83984,North,1,3,27528,Low-Rise Multifamily,53280,0,53280,100 Roy St. Apartments,1963481.625,2249607,36.90000153,42.20000076,42,47.70000076,WA,0,5457300410,100.43,1948,98109
100 South King Street,NonResidential,Seattle,Compliant,2,2016,false,2853189,836221.875,82,0.27,Office,63871,47.59856,Office,'-122.33379,0,0,Central,1,6,611,Small- and Mid-Sized Office,73260,0,73260,Westland Building,2853189.5,3020795,44.70000076,47.29999924,140.3000031,148.5,WA,0,5247800300,19.89,1907,98104
100 Taylor Avenue N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1009759,295943.5,96,1.01,Multifamily Housing,192322,47.6189,"Multifamily Housing, Parking, Retail Store",'-122.34588,3510238,35102.375,Central,1,6,21532,Mid-Rise Multifamily,53540,138292,191832,Taylor 28,4519997,4868465.5,22.20000076,23.89999962,33.59999847,35.40000153,WA,0,1991200600,193.47,2010,98109
100 Ward Street,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1495071,438180.3125,42,1.73,Multifamily Housing,62422,47.62835,Multifamily Housing,'-122.35491,2209015,22090.15039,North,1,8,20764,Mid-Rise Multifamily,66096,7640,73736,Continental House Condominium,3704086.5,4027834,59.29999924,64.5,112.4000015,120.9000015,WA,0,1744900000,127.74,1970,98109
100 West Harrison,NonResidential,Seattle,Compliant,7,2016,false,3493093,1023767.125,86,0.28,Office,66747,47.62224,"Office, Parking",'-122.3585,0,0,North,1,5,491,Small- and Mid-Sized Office,66762,20416,87178,South Tower,3493093.75,3705629,52.29999924,55.5,164.3000031,174.3000031,WA,0,1989200740,24.35,1970,98119
100 West Harrison,NonResidential,Seattle,Compliant,7,2016,false,3632614,1064658.125,69,0.29,Office,66648,47.62224,"Office, Parking",'-122.3585,0,0,North,1,5,490,Small- and Mid-Sized Office,66762,20416,87178,North Tower,3632613.75,3838006.75,54.5,57.59999847,171.1000061,180.8000031,WA,0,1989200720,25.32,1972,98119
100 West Highland Drive,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,931222,272925.6875,50,2.23,Multifamily Housing,104064,47.63007,"Multifamily Housing, Other",'-122.35854,4247919,42479.19141,North,1,4,25245,Low-Rise Multifamily,104064,0,104064,The Victoria,5179141.5,5790169.5,49.59999847,55.40000153,70.69999695,77.90000153,WA,0,8898530000,232.1,1921,98119
100 West Roy St,NonResidential,Seattle,Compliant,7,2016,false,665472,195038.7031,0,0.45,Performing Arts,34976,47.62591,Performing Arts,'-122.35843,208239,2082.389893,North,1,3,23566,Other,34976,0,34976,ON THE BOARDS,873711.125,943354.6875,25,27,66,68.09999847,WA,0,3879900640,15.7,1912,98119
1000 1st Ave S,NonResidential,Seattle,Compliant,2,2016,false,2688675,788005.6875,15,0.25,Distribution Center,51040,47.59403,"Distribution Center, Office, Parking",'-122.33367,0,0,South,1,6,628,Distribution Center,64800,10800,75600,Palmer Court Building,2688675.75,2688675.75,43.70000076,43.70000076,137.1999969,137.1999969,WA,0,7666206676,18.74,1910,98134
1000 1st Ave W,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,536511,157242.5,76,0.17,Multifamily Housing,22093,47.628,"Multifamily Housing, Parking",'-122.35769,0,0,North,1,4,23457,Low-Rise Multifamily,22093,0,22093,1000 1st Ave W Apartments,536511.5,573120.5,24.29999924,25.89999962,76.30000305,81.5,WA,0,3879900375,3.74,1960,98119
1000 1st Ave.,NonResidential,Seattle,Compliant,7,2016,false,10914911,3198977.5,23,1.08,Hotel,198400,47.60505,"Hotel, Parking",'-122.3361,6542646,65426.46484,Central,0,10,27673,Hotel,370327,22225,392552,Hotel1000,17457560,17311366,88,87.30000305,207.3999939,205.1000061,WA,0,5017300000,423.57,2006,98104
1000 4TH AVE S,NonResidential,Seattle,Compliant,2,2016,false,3639670,1066726.25,0,0.23,Non-Refrigerated Warehouse,58605,47.59439,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store, Worship Facility",'-122.32839,0,0,South,3,2,731,Mixed Use Property,89893,18860,108753,SALVATION ARMY (ID#731),3639670.25,3714717.25,33.5,34.20000076,105.0999985,107.3000031,WA,0,7666204745,25.37,1930,98134
1000 8TH AVE,Multifamily HR (10+),Seattle,Compliant,7,2016,false,7108743,2083453.375,71,0.89,Multifamily Housing,256482,47.6085,Multifamily Housing,'-122.32787,4628580,46285.79688,Central,1,14,21370,High-Rise Multifamily,256482,76762,333244,The OT8,11737324,12385768,45.79999924,48.29999924,106,113.9000015,WA,0,1979200125,295.38,1949,98104
1000 Aurora Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,421838,123633.7031,0,0.74,Multifamily Housing,79872,47.62774,"Multifamily Housing, Parking, Retail Store",'-122.34319,2851807,28518.07031,North,1,6,19788,Mid-Rise Multifamily,208125,0,208125,Alterra COA,3273645.5,3534954.5,37.59999847,40.59999847,49.59999847,52.79999924,WA,0,195500000,154.4,1999,98109
1000 Denny Way,NonResidential,Seattle,Compliant,7,2016,false,48155040,14113435,0,1.21,Office,155985,47.61907,"Data Center, Office, Other, Restaurant",'-122.33651,251511,2515.109863,Central,1,8,465,Large Office,287819,0,287819,1000 Denny Building,48406556,48037000,176,174.6000061,550.7000122,545.9000244,WA,0,2693100010,349.07,1929,98109
1000 Dexter Avenue North,NonResidential,Seattle,Compliant,7,2016,false,6859197,2010315.75,57,0.43,Office,98781,47.62817,"Office, Other, Parking",'-122.34212,0,0,North,1,5,741,Large Office,110524,0,110524,1000 Dexter-RREEF  SeaDPD ID 741,6859198,6859198,63.90000153,63.90000153,200.5,200.5,WA,0,2249500235,47.82,1998,98109
1000 E Pike St,NonResidential,Seattle,Compliant,3,2016,false,1333290,390764.8125,0,0.27,Retail Store,14983,47.61421,"Office, Restaurant, Retail Store",'-122.3193,0,0,Central,1,2,25667,Mixed Use Property,34914,0,34914,Pike Building,1333289.625,1314474.5,42.40000153,41.79999924,133.1000061,131.1999969,WA,0,6003500345,9.29,1912,98122
1000 Fairview Ave N,NonResidential,Seattle,Compliant,3,2016,false,6974197,2044020.25,1,1.95,Office,37481,47.62799,"Office, Parking",'-122.33132,468117,4681.168945,Central,1,1,21413,Small- and Mid-Sized Office,37740,0,37740,Fairview,7442314.5,7419337,198.6000061,197.8999939,597.4000244,588.4000244,WA,0,1984200105,73.48,1926,98109
1000 Fourth Avenue,Nonresidential COS,Seattle,Compliant,7,2016,false,17851297,5231916,0,0.44,Library,364913,47.60649,"Data Center, Library, Parking",'-122.33297,0,0,Central,1,11,21,Other,355000,57000,412000,The Seattle Public Library - Central Library,18588860,18706912,50.79999924,51.09999847,155.6000061,156,WA,737559.5,942000275,181.38,2004,98154
1000 Lenora St.,NonResidential,Seattle,Compliant,7,2016,false,4647474,1362096.75,0,3.07,College/University,125000,47.61816,College/University,'-122.33629,6696211,66962.10938,Central,1,7,30,University,126593,0,126593,Main Campus Center,11343686,12183313,90.69999695,97.5,173,180,WA,0,660001420,388.04,1928,98121
1000 Minor Ave,Multifamily HR (10+),Seattle,Compliant,3,2016,false,5431236,1591804.25,69,1,Multifamily Housing,193868,47.61022,"Multifamily Housing, Parking",'-122.324,3731573,37315.73438,Central,1,17,39768,High-Rise Multifamily,236148,0,236148,Coppins Well (1200 Madison),9162810,9650151,47.29999924,49.79999924,108.1999969,113,WA,0,1978200720,236.05,2012,98104
1000 NE 88th St,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,493970,144774.2031,0,0.15,Multifamily Housing,22935,47.69239,"Multifamily Housing, Parking",'-122.31738,0,0,North,1,4,24184,Low-Rise Multifamily,22935,0,22935,Mapleleaf View,493969.6875,516389.6875,21.5,22.5,67.59999847,70.69999695,WA,0,5118000000,3.44,1992,98115
1000 North Northlake Way,NonResidential,Seattle,Compliant,4,2016,false,1282333,375830.3125,48,0.55,Office,20500,47.64866,Office,'-122.34509,43845,438.4500122,Central,1,2,20871,Small- and Mid-Sized Office,20500,0,20500,The Production Network,1326178.125,1326178.125,64.69999695,64.69999695,198.6999969,198.6999969,WA,0,1825049143,11.27,1900,98103
1000 Occidental Ave.,NonResidential,Seattle,Compliant,2,2016,false,9401937,2755550,0,0.89,Parking,432903,47.59544,"Other - Entertainment/Public Assembly, Parking",'-122.33159,4328267,43282.66797,South,1,6,37008,Other,333698,0,333698,CenturyLink Field Event Center,13730204,14658050,41.09999847,43.90000153,102.0999985,105,WA,0,7666204876,295.42,1999,98134
1000 Queen Anne Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,652430,191216.2969,87,0.15,Multifamily Housing,25671,47.62828,"Multifamily Housing, Parking",'-122.35635,0,0,North,1,5,23451,Mid-Rise Multifamily,29454,0,29454,Fairview,652429.875,702674.8125,25.39999962,27.39999962,79.80000305,85.90000153,WA,0,3879900295,4.55,1962,98109
1000 S WELLER ST,NonResidential,Seattle,Compliant,2,2016,false,166749,48871.19922,65,0.6,Non-Refrigerated Warehouse,18350,47.59774,"Non-Refrigerated Warehouse, Worship Facility",'-122.31936,248616,2486.159912,Central,1,1,25000,Warehouse,23903,0,23903,KLC GROUP LLC,415364.5938,486884.9063,18.20000076,21.29999924,34.29999924,38.29999924,WA,0,8170100295,14.37,1930,98104
1000 Second Avenue,NonResidential,Seattle,Compliant,7,2016,false,24603417,7210849,84,0.29,Office,470416,47.60567,"Office, Parking, Pre-school/Daycare",'-122.33511,0,0,Central,1,41,346,Large Office,460489,129432,589921,1000 Second Avenue,24603420,24603420,51.20000076,51.20000076,160.6999969,160.6999969,WA,0,939000475,171.52,1986,98104
1000 Seneca St,NonResidential,Seattle,Compliant,3,2016,false,1972293,578045.875,1,6.55,Office,22667,47.61063,Office,'-122.32741,155501,1555.010132,Central,1,3,21117,Small- and Mid-Sized Office,22667,0,22667,Administration - Blackford Hall,3767135,4141811.25,166.1999969,182.6999969,367.3999939,387.1000061,WA,1639341.375,1978200305,148.55,1946,98101
1000 Union ST,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1612167,472499.1875,62,0.25,Multifamily Housing,44616,47.61233,Multifamily Housing,'-122.32895,0,0,Central,1,5,23167,Mid-Rise Multifamily,44616,0,44616,Talisman,1612167.25,1747326.875,36.09999847,39.20000076,113.5,123,WA,0,8560600000,11.24,1965,98101
10001 57th Ave. S,NonResidential,Seattle,Compliant,2,2016,false,611581,179244.2031,69,2.47,Worship Facility,44816,47.51042,Worship Facility,'-122.26277,1218400,12184,South,1,2,20928,Worship Facility,27876,0,27876,St. Paul Church & School,1829981.375,2095655.25,40.79999924,46.79999924,71.40000153,78.5,WA,0,1686400005,68.97,1954,98178
10002 AURORA AVE N,NonResidential,Seattle,Compliant,5,2016,false,4244454,1243978.25,6,3.51,Supermarket/Grocery Store,45155,47.70224,Supermarket/Grocery Store,'-122.34409,2429726,24297.25586,North,0,1,24514,Supermarket / Grocery Store,45155,0,45155,OAKTREE PLAZA ASSOC,6674179.5,6732712.5,147.8000031,149.1000061,351.7000122,349.8999939,WA,0,3126049389,158.63,1986,98133
10006 Aurora Ave N,NonResidential,Seattle,Compliant,5,2016,false,2786648,816719.875,0,0.58,Movie Theater,33392,47.70197,Movie Theater,'-122.34219,0,0,North,1,1,24513,Other,33392,0,33392,Oak Tree 6,2786648.75,2786648.75,83.5,83.5,262,262,WA,0,3126049388,19.43,1986,98113
1001 2nd Ave W,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,604959,177303.2031,0,1.44,Multifamily Housing,24084,47.62796,"Multifamily Housing, Parking",'-122.3597,572421,5724.209961,North,1,4,23440,Low-Rise Multifamily,24084,0,24084,Kinnear Vista Condo,1177379.75,1308138.75,48.90000153,54.29999924,103.8000031,112.8000031,WA,0,3877900000,34.62,1975,98119
1001 Alaskan Way,NonResidential,Seattle,Compliant,7,2016,false,3787933,1110179.625,0,6,Restaurant,32494,47.6041,"Other, Restaurant, Retail Store",'-122.33958,6606397,66063.96875,Central,1,1,318,Mixed Use Property,62900,0,62900,Pier 54,10394330,10883874,158.3000031,165.6999969,286.7000122,294.6000061,WA,0,7666202495,377.27,1900,98104
1001 Fairview Ave N,NonResidential,Seattle,Compliant,3,2016,false,2170550,636151.6875,0,3.67,Restaurant,13592,47.62902,"Office, Restaurant",'-122.33173,1546514,15465.14063,Central,1,2,25451,Restaurant,26519,0,26519,Yale Street Landing  and Ocean Alexander,3717064,3717064,140.1999969,140.1999969,318.2000122,318.2000122,WA,0,4088803010,97.27,1978,98109
1001 Fourth Avenue,NonResidential,Seattle,Compliant,7,2016,false,38378889,11248209,89,0.56,Office,808980,47.60615,"Financial Office, Food Sales, Office, Other, Parking",'-122.33388,6784415,67844.14844,Central,1,49,353,Large Office,754455,368980,1123435,Safeco Plaza,45163308,47518124,52.70000076,55.5,149,154.6999969,WA,0,942000300,627.87,1969,98154
1001 Lenora St.,NonResidential,Seattle,Compliant,7,2016,false,235546,69034.70313,0,0.29,College/University,21600,47.61789,College/University,'-122.33573,88193,881.9299927,Central,1,3,19836,University,21600,0,21600,Notion,323739.4063,359207.1875,15,16.60000038,38.5,41.79999924,WA,0,660001470,6.33,1928,98121
1001 Queen Anne Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,571886,167610.0938,91,1.56,Multifamily Housing,37843,47.62825,Multifamily Housing,'-122.35714,1033335,10333.35059,North,1,6,28009,Mid-Rise Multifamily,37843,0,37843,Plaza Royale,1605220.875,1758909.75,42.40000153,46.5,76.09999847,82.69999695,WA,0,6817900000,58.87,1970,98109
1001 S Myrtle St,NonResidential,Seattle,Compliant,2,2016,false,856089,250905.2031,33,0.2,Non-Refrigerated Warehouse,16768,47.53906,"Non-Refrigerated Warehouse, Office, Other",'-122.32031,0,0,South,1,1,21622,Warehouse,29380,0,29380,1001 S Myrtle St,856088.625,878933.3125,29.10000038,29.89999962,91.5,93.90000153,WA,0,2136200605,5.97,1977,98108
10014 5th AVE NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,662701,194226.5938,47,0.23,Multifamily Housing,20132,47.70198,Multifamily Housing,'-122.32285,0,0,North,1,4,24765,Low-Rise Multifamily,20132,0,20132,La Romarr Apartments,662701.1875,702121.625,32.90000153,34.90000153,103.4000015,109.5,WA,0,3226049298,4.62,1967,98125
10015 Lake City Way NE,NonResidential,Seattle,Compliant,5,2016,false,919746,269562.1875,0,0.21,Office,11729,47.70175,"Office, Other",'-122.30269,0,0,North,1,4,24178,Mixed Use Property,30948,0,30948,Workshops Seattle Lake City Way,919746.3125,975936.5,39.20000076,41.59999847,123.0999985,130.6000061,WA,0,5101405881,6.41,2000,98125
1002 AIRPORT WAY S,NonResidential,Seattle,Compliant,2,2016,false,1938613,568174.875,0,0.26,Automobile Dealership,48103,47.59394,"Automobile Dealership, Office",'-122.32452,0,0,South,1,2,868,Other,51856,0,51856,(ID868) BMW SEATTLE - SHOWROOM & OFFICE,1938613.125,1935438.625,37.40000153,37.29999924,117.4000015,117.1999969,WA,0,7666202740,13.51,2008,98134
10020 Martin Luther King Jr Way S,NonResidential,Seattle,Compliant,2,2016,false,1441594,422506.9063,99,0.34,Non-Refrigerated Warehouse,293707,47.51098,Non-Refrigerated Warehouse,'-122.27817,102600,1025.999756,South,1,2,49699,Warehouse,45700,0,45700,21615-Seattle/10020 MartinLutherKing,1544193.75,1547490.125,5.300000191,5.300000191,15.80000019,15.80000019,WA,0,323049141,15.5,1988,98178
1004 Belmont Ave E,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,645452,189171.0938,86,0.15,Multifamily Housing,24441,47.62744,"Multifamily Housing, Parking",'-122.326,0,0,Central,1,5,25127,Mid-Rise Multifamily,30517,0,30517,Lakeview Place,645451.8125,683011.125,26.39999962,27.89999962,82.90000153,87.69999695,WA,0,8944100013,4.5,1966,98102
1004 Boren Ave,NonResidential,Seattle,Compliant,3,2016,false,774943,227122.7031,0,3.49,Social/Meeting Hall,20411,47.6097,Social/Meeting Hall,'-122.325,1239533,12395.33008,Central,0,3,21336,Other,20411,0,20411,University Club,2014475.875,2145049.5,98.69999695,105.0999985,183,189.6999969,WA,0,1978200605,71.23,1912,98104
1005 6th Avenue S,NonResidential,Seattle,Compliant,2,2016,false,894740,262233.1875,73,0.21,Non-Refrigerated Warehouse,27271,47.59416,"Distribution Center, Non-Refrigerated Warehouse, Supermarket/Grocery Store",'-122.3267,29453,294.5299988,South,1,1,29214,Warehouse,37400,0,37400,1001-1005 6th Ave. S,924192.6875,909543.1875,24.70000076,24.29999924,75.80000305,74.40000153,WA,0,7666204800,7.8,1922,98134
1005 E Roy St,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,311092,91175.89844,88,1.59,Multifamily Housing,31659,47.62517,"Multifamily Housing, Parking",'-122.31919,1111314,11113.14063,Central,1,3,22107,Low-Rise Multifamily,38500,0,38500,Ten-O-Five,1422406.25,1523328.75,44.90000153,48.09999847,67.69999695,71.09999847,WA,0,2663000620,61.19,1930,98102
1005 Harbor Ave SW,Multifamily MR (5-9),Seattle,Compliant,1,2016,false,587802,172274.7969,0,0.64,Multifamily Housing,36730,47.59478,Multifamily Housing,'-122.38513,367696,3676.960205,South,1,6,28028,Mid-Rise Multifamily,36730,0,36730,Point Nautica,955497.625,1029617.125,26,28,60.79999924,64.40000153,WA,0,6837740000,23.63,1998,98116
1005 Spring Street,NonResidential,Seattle,Compliant,3,2016,false,605147,177358.5,56,3.14,Hotel,35770,47.60958,Hotel,'-122.32646,2035833,20358.32813,Central,1,6,23408,Hotel,35770,0,35770,Hotel - The Baroness Hotel,2640980.25,2835357,73.80000305,79.30000305,112.9000015,118.5999985,WA,0,8590901030,112.34,1928,98104
1005 TERRACE ST,Multifamily HR (10+),Seattle,Compliant,3,2016,false,1849153,541955.875,49,2.82,Multifamily Housing,92183,47.60445,Multifamily Housing,'-122.32171,183955,1839.550049,Central,1,11,23304,High-Rise Multifamily,92183,0,92183,Hilltop House,5104947,5475504.5,55.40000153,59.40000153,105.1999969,110,WA,3071838.5,8590900410,259.77,1967,98104
1006 Spring St,NonResidential,Seattle,Compliant,3,2016,false,1533438,449424.9063,85,2.11,Hotel,48006,47.60981,Hotel,'-122.32687,1706316,17063.16016,Central,1,9,23410,Hotel,48006,0,48006,Hotel - Inn at Virginia Mason,3239754,3182794.5,67.5,66.30000305,137.6000061,133.8999939,WA,0,8590901105,101.31,1928,98101
1007 First Ave.,NonResidential,Seattle,Compliant,7,2016,false,4402910,1290419.25,98,0.75,Hotel,190980,47.6048,"Hotel, Parking",'-122.3368,2103084,21030.83984,Central,1,5,144,Hotel,190980,0,190980,Alexis Hotel,6505995,6505995,34.09999847,34.09999847,84,84,WA,0,1974600035,142.39,1904,98104
1008 Western Ave,NonResidential,Seattle,Compliant,7,2016,false,6797646,1992276.125,70,0.28,Office,110370,47.6047,"Data Center, Office, Retail Store",'-122.33739,0,0,Central,1,6,713,Large Office,167860,0,167860,National Building,6797647,7046428.5,52,53.90000153,163.1999969,169.1999969,WA,0,7666202515,47.39,1905,98104
1009 NE Pacific St,NonResidential,Seattle,Compliant,4,2016,false,6960904,2040124.25,16,0.54,Residence Hall/Dormitory,89392,47.65447,Residence Hall/Dormitory,'-122.31733,0,0,North,1,0,49980,Residence Hall,89392,0,89392,Mercer Hall,6960904.5,7483350,77.90000153,83.69999695,244.5,262.8999939,WA,0,1625049001,48.53,1970,98195
101 - 110 16th Ave,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,713893,209230.0938,46,0.21,Multifamily Housing,20125,47.60194,Multifamily Housing,'-122.31115,0,0,Central,1,2,23752,Low-Rise Multifamily,24150,0,24150,Sixteenth Ave Townhomes on 16th,713893.1875,778795.625,35.5,38.70000076,111.4000015,121.5,WA,0,7804130000,4.98,1985,98122
101 Elliott Ave West,NonResidential,Seattle,Compliant,7,2016,false,3817281,1118781,95,0.56,Office,109978,47.61891,"Office, Parking",'-122.35958,1697027,16970.26953,North,1,5,707,Large Office,129362,78848,208210,101 ELLIOTT AVENUE WEST,5514308.5,5799664.5,50.09999847,52.70000076,125.1999969,127.9000015,WA,0,7666202220,116.74,1986,98119
101 N 104th ST 98133,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,941257,275866.6875,81,0.16,Multifamily Housing,32676,47.70414,"Multifamily Housing, Parking",'-122.35789,0,0,North,1,3,24166,Low-Rise Multifamily,41332,0,41332,Bergan Place Apartments,941257.3125,983370.5,28.79999924,30.10000038,90.5,94.5,WA,0,3442000035,6.56,1987,98133
101 N 46th St,Multifamily MR (5-9),Seattle,Compliant,6,2016,false,679575,199172,89,0.16,Multifamily Housing,29840,47.66209,Multifamily Housing,'-122.3575,0,0,Central,1,6,24805,Mid-Rise Multifamily,29840,0,29840,"North 46th Properties, LLC",679574.875,734283.625,22.79999924,24.60000038,71.5,77.30000305,WA,0,7517500515,4.74,1967,98103
101 Nickerson St,NonResidential,Seattle,Compliant,7,2016,false,776249,227505.5,82,0.23,Office,23600,47.64805,Office,'-122.35534,0,0,North,1,2,21172,Small- and Mid-Sized Office,23600,0,23600,101 Nickerson,776248.6875,839316.3125,32.90000153,35.59999847,103.3000031,111.6999969,WA,0,1972205940,5.41,1981,98109
101 Prefontaine PL S,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,3121375,914822.8125,55,0.21,Multifamily Housing,117950,47.60138,"Multifamily Housing, Other - Lodging/Residential, Parking",'-122.32997,66575,665.75,Central,1,6,655,Mid-Rise Multifamily,106740,11210,117950,Tashiro_kaplan,3187950.75,3434358.5,27,29.10000038,83.69999695,89.90000153,WA,0,8566600000,25.3,2002,98104
